000	sukuna_new_000_t00m08_4s.mp3	1.04	en	0.98	Oh, come on.	Oh, come on.
001	sukuna_new_001_t00m09_9s.mp3	0.91	en	0.97	You maggot!	You maggot!
002	sukuna_new_002_t00m11_1s.mp3	1.24	en	0.97	How infuriating.	How infuriating.
003	sukuna_new_003_t00m12_7s.mp3	0.79	en	0.97	He gunned.	He gunned.
004	sukuna_new_004_t00m13_9s.mp3	0.75	en	0.96	First of all...	First of all...
005	sukuna_new_005_t00m17_1s.mp3	0.59	en	0.96	You!	You!
006	sukuna_new_006_t00m18_1s.mp3	0.88	en	0.64	FOOL	FOOL
007	sukuna_new_007_t00m19_3s.mp3	0.95	en	0.95	You're mine.	You're mine.
008	sukuna_new_008_t00m20_7s.mp3	1.41	en	0.99	Judge this if you can.	Judge this if you can.
009	sukuna_new_009_t00m22_4s.mp3	0.77	en	0.92	Too slow.	Too slow.
010	sukuna_new_010_t00m23_5s.mp3	1.35	en	0.99	Push your luck	and push your luck.
011	sukuna_new_011_t00m25_1s.mp3	1.32	en	0.98	You're outmatched.	You're outmatched.
012	sukuna_new_012_t00m26_7s.mp3	1.23	en	0.98	Don't whimper.	Don't whimper.
013	sukuna_new_013_t00m28_6s.mp3	0.55	en	0.76	Baw.	Baww
014	sukuna_new_014_t00m29_6s.mp3	0.91	en	0.98	Get down.	Get down.
015	sukuna_new_015_t00m30_8s.mp3	1.04	en	0.98	I'll bury you.	I'll bury you.
016	sukuna_new_016_t00m32_3s.mp3	1.31	en	0.99	Don't be so arrogant.	Don't be so arrogant.
017	sukuna_new_017_t00m33_9s.mp3	1.02	en	0.97	Come on now.	Come on now.
018	sukuna_new_018_t00m35_3s.mp3	1.10	en	0.98	Take this!	Take this!
019	sukuna_new_019_t00m36_7s.mp3	1.59	en	0.98	Can you still stand?	Can you still stand?
020	sukuna_new_020_t00m38_6s.mp3	0.88	en	0.97	Clever!	Clever!
021	sukuna_new_021_t00m39_7s.mp3	1.32	en	0.96	Don't try to show off.	Don't try to show off.
022	sukuna_new_022_t00m41_5s.mp3	1.08	en	0.99	Stay there.	Stay there.
023	sukuna_new_023_t00m43_0s.mp3	1.29	en	0.98	It's about time.	It's about time.
024	sukuna_new_024_t00m44_8s.mp3	0.56	en	0.66	Mm-hmm	mhm
025	sukuna_new_025_t00m45_7s.mp3	1.66	en	0.96	I won't forgive this.	I won't forgive this.
026	sukuna_new_026_t00m47_5s.mp3	1.29	en	0.99	Don't get conceited.	Don't get conceited.
027	sukuna_new_027_t00m49_2s.mp3	1.12	en	0.99	Bedtime for you	Bedtime for you.
028	sukuna_new_028_t00m50_9s.mp3	0.94	en	0.97	Get out of my sight!	Get out of my sight!
029	sukuna_new_029_t00m52_3s.mp3	1.34	en	0.99	On your knees.	On your knees.
030	sukuna_new_030_t00m53_9s.mp3	0.91	en	0.98	I'll kill you.	I'll kill you.
031	sukuna_new_031_t00m55_1s.mp3	0.61	en	0.96	Die!	Die!
032	sukuna_new_032_t00m56_0s.mp3	0.96	en	0.99	Don't move.	Don't move.
033	sukuna_new_033_t00m57_2s.mp3	1.32	en	0.98	You're a proud one.	You're a proud one.
034	sukuna_new_034_t00m59_0s.mp3	1.41	en	0.97	I forbid you to move.	I forbid you to move.
035	sukuna_new_035_t01m01_0s.mp3	1.45	en	0.98	Crawl on the ground!	Crawl on the ground!
036	sukuna_new_036_t01m02_8s.mp3	1.18	en	0.99	Running won't help	Running won't help
037	sukuna_new_037_t01m04_5s.mp3	1.29	en	0.22	SORRA!	SORRA!
038	sukuna_new_038_t01m07_8s.mp3	1.00	en	0.97	behind you.	behind you.
039	sukuna_new_039_t01m09_1s.mp3	1.96	en	0.99	The weird trash belongs.	The weird trash belongs.
040	sukuna_new_040_t01m11_4s.mp3	1.49	en	0.99	You make me sick.	You make me sick.
041	sukuna_new_041_t01m13_1s.mp3	0.99	en	0.98	I've had enough of-	I've had enough of-
042	sukuna_new_042_t01m14_9s.mp3	1.15	en	0.95	You're an eyesore.	You're an eyesore.
043	sukuna_new_043_t01m16_3s.mp3	0.61	en	0.68	Egon	EGON
044	sukuna_new_044_t01m17_5s.mp3	1.00	en	0.94	Go to hell.	Go to hell.
045	sukuna_new_045_t01m18_8s.mp3	1.49	en	0.99	Stay on your feet.	Stay on your feet!
046	sukuna_new_046_t01m20_5s.mp3	1.05	en	0.98	I'll carve you up.	I'll carve you up.
047	sukuna_new_047_t01m22_0s.mp3	1.22	en	0.97	What are you going to do?	What are you going to do?
048	sukuna_new_048_t01m23_5s.mp3	1.11	en	0.99	I hate that.	I hate that.
049	sukuna_new_049_t01m24_9s.mp3	0.98	en	0.98	Outta my way!	Outta my way!
050	sukuna_new_050_t01m26_2s.mp3	1.14	en	0.94	You're cocky.	You're cocky.
051	sukuna_new_051_t01m27_7s.mp3	1.15	en	0.98	I'll take you down.	I'll take you down.
052	sukuna_new_052_t01m29_1s.mp3	1.36	en	0.89	Ha, ha, ha, ha, ha, ha.	Ha ha ha ha ha!
053	sukuna_new_053_t01m30_7s.mp3	0.71	en	0.87	I'll cut you.	I'll cut you.
054	sukuna_new_054_t01m32_0s.mp3	1.65	en	0.94	I love you.	I love you.
055	sukuna_new_055_t01m33_9s.mp3	1.61	en	0.98	You're getting on my nerves.	You're getting on my nerves.
056	sukuna_new_056_t01m35_8s.mp3	0.78	en	0.87	tiresome	tiresome
057	sukuna_new_057_t01m37_0s.mp3	0.79	en	0.64	FOOL	FOOL
058	sukuna_new_058_t01m38_1s.mp3	1.66	en	0.98	Let's put you through your paces.	Let's put you through your paces.
059	sukuna_new_059_t01m40_1s.mp3	0.97	en	0.97	Apathetic.	Hypothetic.
060	sukuna_new_060_t01m41_4s.mp3	0.77	en	0.96	Quiet.	Quiet!
061	sukuna_new_061_t01m42_4s.mp3	0.83	en	0.91	burn	burn
062	sukuna_new_062_t01m43_7s.mp3	0.85	en	0.88	Crawl!	Crawl!
063	sukuna_new_063_t01m44_8s.mp3	0.95	en	0.98	I'll cleave through.	I'll cleave through it.
064	sukuna_new_064_t01m46_3s.mp3	0.69	en	0.96	Burn.	Burn!
065	sukuna_new_065_t01m47_3s.mp3	1.57	en	0.98	I'll kill you all!	I'll kill you all!
066	sukuna_new_066_t01m49_2s.mp3	1.38	en	0.99	I'll burn you to nothing.	I'll burn you to nothing.
067	sukuna_new_067_t01m50_9s.mp3	1.86	en	0.98	Let's see whose flames are hotter.	Let's see whose flames are hotter.
068	sukuna_new_068_t01m53_0s.mp3	0.72	en	0.96	here	here
069	sukuna_new_069_t01m54_1s.mp3	0.91	en	0.99	Back at ya.	Back at ya.
070	sukuna_new_070_t01m55_4s.mp3	1.37	en	0.98	I'm not letting you go.	I'm not letting you go.
071	sukuna_new_071_t01m57_1s.mp3	1.19	en	0.98	This is the end.	This is the end.
072	sukuna_new_072_t01m58_5s.mp3	1.11	en	0.97	It's a slaughter!	It's a slaughter!
073	sukuna_new_073_t01m59_9s.mp3	1.38	en	0.98	This is a good opportunity.	This is a good opportunity.
